competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
1218,2015,Tournoi satellite,Senior,TURKEY,2014-11-15,2014-11-16,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2015/1218,2015-1218,
127,2018,The Artus Court PKO BP,Senior,POLAND,2018-01-12,2018-01-13,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2018/127,2018-127,
1073,2016,Championnats de qualifications panaméricains,Senior,COSTA RICA,2016-04-15,2016-04-15,Foil,Womens,America/Costa_Rica,https://fie.org/competitions/2016/1073,2016-1073,
1245,2015,Jeux Européens,Senior,AZERBAIJAN,2015-06-24,2015-06-24,Foil,Womens,Asia/Baku,https://fie.org/competitions/2015/1245,2015-1245,
1079,2016,Championnats de qualification européens,Senior,CZECH REPUBLIC,2016-04-16,2016-04-16,Foil,Womens,Europe/Prague,https://fie.org/competitions/2016/1079,2016-1079,
1014,2017,Championnats asiatiques,Senior,"HONG KONG, CHINA",2017-06-16,2017-06-16,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2017/1014,2017-1014,
800,2018,Championnats Panaméricains,Senior,CUBA,2018-06-17,2018-06-17,Foil,Womens,America/Havana,https://fie.org/competitions/2018/800,2018-800,
1067,2016,Championnats de qualification Asie-Océanie,Senior,CHINA,2016-04-11,2016-04-11,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2016/1067,2016-1067,
125,2016,Coupe du Monde,Senior,MEXICO,2015-10-16,2015-10-17,Foil,Womens,America/Cancun,https://fie.org/competitions/2016/125,2016-125,
800,2017,Championnats Panaméricains,Senior,CANADA,2017-06-15,2017-06-15,Foil,Womens,America/Toronto,https://fie.org/competitions/2017/800,2017-800,
740,2018,Championnats d'Europe,Senior,SERBIA,2018-06-17,2018-06-17,Foil,Womens,Europe/Belgrade,https://fie.org/competitions/2018/740,2018-740,
118,2017,Coupe du Monde,Senior,FRANCE,2016-11-04,2016-11-05,Foil,Womens,Europe/Paris,https://fie.org/competitions/2017/118,2017-118,
118,2016,Coupe du Monde,Senior,FRANCE,2015-11-06,2015-11-07,Foil,Womens,Europe/Paris,https://fie.org/competitions/2016/118,2016-118,
458,2015,Grand Prix,Senior,ITALY,2014-11-28,2014-11-29,Foil,Womens,Europe/Rome,https://fie.org/competitions/2015/458,2015-458,
1377,2018,Tournoi Satelite,Senior,DENMARK,2018-05-27,2017-05-27,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2018/1377,2018-1377,
125,2017,Coupe du Monde,Senior,MEXICO,2016-10-14,2016-10-15,Foil,Womens,America/Cancun,https://fie.org/competitions/2017/125,2017-125,
243,2015,Championnats du Monde,Senior,RUSSIA,2015-07-15,2015-07-16,Foil,Womens,Europe/Moscow,https://fie.org/competitions/2015/243,2015-243,
397,2015,Tournoi satellite,Senior,MEXICO,2014-10-15,2014-10-16,Foil,Womens,America/Cancun,https://fie.org/competitions/2015/397,2015-397,
122,2016,Reinhold-Würth-Cup,Senior,GERMANY,2016-05-20,2016-05-21,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2016/122,2016-122,
243,2017,Championnats du Monde,Senior,GERMANY,2017-07-19,2017-07-21,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/243,2017-243,
243,2018,Championnats du Monde,Senior,CHINA,2018-07-20,2018-07-23,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2018/243,2018-243,
129,2016,Coupe du Monde,Senior,ALGERIA,2016-02-05,2016-02-06,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/129,2016-129,
457,2016,Grand Prix,Senior,CHINA,2016-06-03,2016-06-04,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2016/457,2016-457,
458,2017,Grand Prix,Senior,ITALY,2016-12-02,2016-12-04,Foil,Womens,Europe/Rome,https://fie.org/competitions/2017/458,2017-458,
1230,2019,Tournoi satellite,Senior,ROMANIA,2018-09-23,2018-09-23,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2019/1230,2019-1230,
1093,2017,2017 Summer Universiades,Senior,CHINESE TAIPEI,2017-08-20,2017-08-25,Foil,Womens,Asia/Taipei,https://fie.org/competitions/2017/1093,2017-1093,
118,2015,Coupe du Monde,Senior,FRANCE,2014-11-07,2014-11-08,Foil,Womens,Europe/Paris,https://fie.org/competitions/2015/118,2015-118,
1014,2015,Championnats asiatiques,Senior,SINGAPORE,2015-06-25,2015-06-30,Foil,Womens,Asia/Singapore,https://fie.org/competitions/2015/1014,2015-1014,
122,2018,Reinhold-Würth-Cup,Senior,GERMANY,2018-04-27,2018-04-28,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2018/122,2018-122,
127,2016,The Artus Court PKO BP,Senior,POLAND,2016-01-15,2016-01-16,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2016/127,2016-127,
1218,2018,Tournoi satellite,Senior,TURKEY,2017-12-09,2017-12-09,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2018/1218,2018-1218,
